Microorganismo;Tratamiento;Pote;Nodulos
Rhizobium sp.;1.00E+08;1;137
Rhizobium sp.;1.00E+08;1;150
Rhizobium sp.;1.00E+08;1;191
Rhizobium sp.;1.00E+08;2;262
Rhizobium sp.;1.00E+08;2;132
Rhizobium sp.;1.00E+08;2;123
Rhizobium sp.;1.00E+08;3;235
Rhizobium sp.;1.00E+08;3;123
Rhizobium sp.;1.00E+08;3;267
Rhizobium sp.;1.00E+08;4;288
Rhizobium sp.;1.00E+08;4;145
Rhizobium sp.;1.00E+08;4;296
Rhizobium sp.;1.00E+08;5;228
Rhizobium sp.;1.00E+08;5;275
Rhizobium sp.;1.00E+08;5;200
Rhizobium sp.;1.00E+08;6;255
Rhizobium sp.;1.00E+08;6;114
Rhizobium sp.;1.00E+08;6;244
Rhizobium sp.;1.00E+08;7;198
Rhizobium sp.;1.00E+08;7;155
Rhizobium sp.;1.00E+08;7;296
Rhizobium sp.;1.00E+08;8;284
Rhizobium sp.;1.00E+08;8;255
Rhizobium sp.;1.00E+08;8;174
Rhizobium sp.;1.00E+08;9;226
Rhizobium sp.;1.00E+08;9;275
Rhizobium sp.;1.00E+08;9;214
Rhizobium sp.;1.00E+08;10;195
Rhizobium sp.;1.00E+08;10;201
Rhizobium sp.;1.00E+08;10;158
Rhizobium sp.;1.00E+06;1;230
Rhizobium sp.;1.00E+06;1;241
Rhizobium sp.;1.00E+06;1;205
Rhizobium sp.;1.00E+06;2;127
Rhizobium sp.;1.00E+06;2;107
Rhizobium sp.;1.00E+06;2;164
Rhizobium sp.;1.00E+06;3;157
Rhizobium sp.;1.00E+06;3;160
Rhizobium sp.;1.00E+06;3;142
Rhizobium sp.;1.00E+06;4;187
Rhizobium sp.;1.00E+06;4;250
Rhizobium sp.;1.00E+06;4;156
Rhizobium sp.;1.00E+06;5;162
Rhizobium sp.;1.00E+06;5;164
Rhizobium sp.;1.00E+06;5;179
Rhizobium sp.;1.00E+06;6;162
Rhizobium sp.;1.00E+06;6;165
Rhizobium sp.;1.00E+06;6;187
Rhizobium sp.;1.00E+06;7;218
Rhizobium sp.;1.00E+06;7;125
Rhizobium sp.;1.00E+06;7;162
Rhizobium sp.;1.00E+06;8;143
Rhizobium sp.;1.00E+06;8;172
Rhizobium sp.;1.00E+06;8;176
Rhizobium sp.;1.00E+06;9;188
Rhizobium sp.;1.00E+06;9;152
Rhizobium sp.;1.00E+06;9;158
Rhizobium sp.;1.00E+06;10;169
Rhizobium sp.;1.00E+06;10;130
Rhizobium sp.;1.00E+06;10;127
Sin Rhizobium sp.;Control;1;73
Sin Rhizobium sp.;Control;1;60
Sin Rhizobium sp.;Control;1;75
Sin Rhizobium sp.;Control;2;55
Sin Rhizobium sp.;Control;2;62
Sin Rhizobium sp.;Control;2;74
Sin Rhizobium sp.;Control;3;73
Sin Rhizobium sp.;Control;3;67
Sin Rhizobium sp.;Control;3;75
Sin Rhizobium sp.;Control;4;54
Sin Rhizobium sp.;Control;4;54
Sin Rhizobium sp.;Control;4;54
Sin Rhizobium sp.;Control;5;80
Sin Rhizobium sp.;Control;5;67
Sin Rhizobium sp.;Control;5;66
Sin Rhizobium sp.;Control;6;58
Sin Rhizobium sp.;Control;6;68
Sin Rhizobium sp.;Control;6;62
Sin Rhizobium sp.;Control;7;67
Sin Rhizobium sp.;Control;7;72
Sin Rhizobium sp.;Control;7;64
Sin Rhizobium sp.;Control;8;53
Sin Rhizobium sp.;Control;8;69
Sin Rhizobium sp.;Control;8;67
Sin Rhizobium sp.;Control;9;78
Sin Rhizobium sp.;Control;9;60
Sin Rhizobium sp.;Control;9;66
Sin Rhizobium sp.;Control;10;70
Sin Rhizobium sp.;Control;10;55
Sin Rhizobium sp.;Control;10;68
